date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Slovenia,1439,0,97,1
2020/01/01,Slovenia,1445,6,98,1
2020/01/01,Slovenia,1448,3,99,1
2020/01/01,Somalia,756,34,35,3
2020/01/01,Somalia,835,79,38,3
2020/01/01,Somalia,873,38,39,1
2020/01/01,Somalia,928,55,44,5
2020/01/01,Somalia,928,0,44,0
2020/01/01,Somalia,997,69,48,4
2020/01/01,SouthAfrica,7220,437,138,7
2020/01/01,SouthAfrica,7439,219,148,10
2020/01/01,SouthAfrica,7808,369,153,5
2020/01/01,SouthAfrica,8232,424,161,8
2020/01/01,SouthAfrica,8895,663,178,17
2020/01/01,SouthAfrica,9420,525,186,8
2020/01/01,Spain,218011,545,25428,164
2020/01/01,Spain,219329,1318,25613,185
2020/01/01,Spain,220325,996,25857,244
2020/01/01,Spain,221447,1122,26070,213
2020/01/01,Spain,222857,1410,26251,181
2020/01/01,Spain,223578,721,26478,227
2020/01/01,SriLanka,771,53,9,2
2020/01/01,Subtotalforallregions,3916654,61563,274348,8500
2020/01/01,Sudan,678,86,41,0
2020/01/01,Sudan,778,100,45,4
2020/01/01,Sudan,852,74,49,4
2020/01/01,Sudan,930,78,52,3
2020/01/01,Sudan,1111,181,59,7
2020/01/01,Sudan,1164,53,64,5
2020/01/01,Suriname,10,0,1,0
2020/01/01,Suriname,10,0,1,0
2020/01/01,Suriname,10,0,1,0
2020/01/01,Suriname,10,0,1,0
2020/01/01,Sweden,22721,404,2769,90
2020/01/01,Sweden,23918,702,2941,87
2020/01/01,Sweden,24623,705,3040,99
2020/01/01,Sweden,25265,642,3175,135
2020/01/01,Sweden,25921,656,3220,45
2020/01/01,Switzerland,29898,76,1476,4
2020/01/01,Switzerland,29926,28,1482,6
2020/01/01,Switzerland,29977,51,1504,22
2020/01/01,Switzerland,30043,66,1517,13
2020/01/01,Switzerland,30168,125,1531,14
2020/01/01,Switzerland,30168,0,1531,0
2020/01/01,SyrianArabRepublic,44,0,3,0
2020/01/01,SyrianArabRepublic,44,0,3,0
2020/01/01,SyrianArabRepublic,45,1,3,0
2020/01/01,SyrianArabRepublic,45,0,3,0
2020/01/01,SyrianArabRepublic,47,2,3,0
2020/01/01,SyrianArabRepublic,47,0,3,0
2020/01/01,Tajikistan,293,63,7,0
2020/01/01,Thailand,2989,1,55,1
2020/01/01,TheUnitedKingdom,190588,3985,28734,288
2020/01/01,TheUnitedKingdom,194994,4406,29427,693
2020/01/01,TheUnitedKingdom,201205,6211,30076,649
2020/01/01,TheUnitedKingdom,206719,5514,30615,539
2020/01/01,TheUnitedKingdom,211368,4649,31241,626
2020/01/01,TheUnitedKingdom,215264,3896,31587,346
2020/01/01,Timor-Leste,24,0,0,0
2020/01/01,TrinidadandTobago,116,0,8,0
2020/01/01,TrinidadandTobago,116,0,8,0
2020/01/01,TrinidadandTobago,116,0,8,0
2020/01/01,TrinidadandTobago,116,0,8,0
2020/01/01,Tunisia,1018,9,43,1
2020/01/01,Tunisia,1022,4,43,0
2020/01/01,Tunisia,1025,3,43,0
2020/01/01,Tunisia,1026,1,44,1
2020/01/01,Tunisia,1030,4,45,1
2020/01/01,Tunisia,1032,2,45,0
2020/01/01,Turkey,127659,1614,3461,64
2020/01/01,Turkey,129491,1832,3520,59
2020/01/01,Turkey,131744,2253,3584,64
2020/01/01,Turkey,133721,1977,3641,57
2020/01/01,Turkey,135569,1848,3689,48
2020/01/01,Turkey,137115,1546,3739,50
2020/01/01,Ukraine,12697,366,316,13
2020/01/01,Ukraine,13691,507,340,13
2020/01/01,Ukraine,14195,504,361,21
2020/01/01,Ukraine,14710,515,376,15
2020/01/01,Ukraine,15232,522,391,15
2020/01/01,UnitedRepublicofTanzania,480,0,18,0
2020/01/01,UnitedRepublicofTanzania,480,0,18,0
2020/01/01,UnitedRepublicofTanzania,509,29,21,3
2020/01/01,Uruguay,655,3,17,0
2020/01/01,Uruguay,673,3,17,0
2020/01/01,Uruguay,684,11,17,0
2020/01/01,Uruguay,694,10,17,0
2020/01/01,Uzbekistan,2266,49,10,0
